scholar_id,given_name,family_name,full_name,is_editor,field_of_study,former_surname,field_of_study_broad
979,Lena,Roemer,Lena Roemer,False,Wirtschaftspsychologie,,Psychologie
980,Julie,Mutschler,Julie Mutschler,False,Survey-Methodologie,,Methoden & Statistik
981,Benjamin,Kuntz,Benjamin Kuntz,False,Public Health,,Gesundheit & Wohlbefinden
982,Thomas,Lampert,Thomas Lampert,False,Gesundheitsmonitoring,,Gesundheit & Wohlbefinden
983,Katharina,Loter,Katharina Loter,False,Familiensoziologie,,Soziologie & Gesellschaft
984,Irene,Moor,Irene Moor,False,Medizinische Soziologie,,Soziologie & Gesellschaft
985,Klaus,Hurrelmann,Klaus Hurrelmann,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
986,Ludwig,Bilz,Ludwig Bilz,False,Pädagogische Psychologie,,Psychologie
987,Arja,Rimpelä,Arja Rimpelä,False,Public Health,,Gesundheit & Wohlbefinden
988,Theres,Vockert,Theres Vockert,False,Public Health,,Gesundheit & Wohlbefinden
989,Jan,Jochmaring,Jan Jochmaring,False,Rehabilitationspädagogik,,Bildung & Erziehungswissenschaft
990,Jaana M,Kinnunen,Jaana M Kinnunen,False,Gesundheitswissenschaften,,Gesundheit & Wohlbefinden
991,Marion,Reindl,Marion Reindl,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
992,Tanja,Auer,Tanja Auer,False,Lehr-Lern-Forschung,,Bildung & Erziehungswissenschaft
993,Sarah,Reinhold,Sarah Reinhold,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
994,Doris,Holzberger,Doris Holzberger,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
995,Simon,Reinwald,Simon Reinwald,False,Betriebswirtschaft,,Ökonomie & Arbeitsmarkt
996,Silvia,Annen,Silvia Annen,False,Berufliche Bildung,,Bildung & Erziehungswissenschaft
997,Kristina,Reiss,Kristina Reiss,True,Fachdidaktik,,Fachdidaktiken
998,Mirjam,Weis,Mirjam Weis,True,Studienmanagement,,Forschungsmanagement
999,Ilona,Relikowski,Ilona Relikowski,False,Soziale Ungleichheit,,Soziologie & Gesellschaft
1000,Katharina,Resch,Katharina Resch,False,Hochschulforschung,,Bildung & Erziehungswissenschaft
1001,Marvin,Reuter,Marvin Reuter,False,Medizinische Soziologie,,Soziologie & Gesellschaft
1002,Leonie,Sundmacher,Leonie Sundmacher,False,Gesundheitsökonomie,,Ökonomie & Arbeitsmarkt
1003,Claudia,Hövener,Claudia Hövener,False,Gesundheitsmonitoring,,Gesundheit & Wohlbefinden
1004,Stephanie,Hoffmann,Stephanie Hoffmann,False,Gesundheitswissenschaften,,Gesundheit & Wohlbefinden
1005,Ina-Sophie,Said,Ina-Sophie Ristau,False,Erhebungskoordination,Ristau,Forschungsmanagement
1006,Michael,Rochnia,Michael Rochnia,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
1007,Falk,Radisch,Falk Radisch,False,Schulpädagogik,,Bildung & Erziehungswissenschaft
1008,Claudia,Kastens,Claudia Kastens,False,Pädagogische Psychologie,,Psychologie
1009,Kati,Trempler,Kati Trempler,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
1010,Judith,Schellenbach-Zell,Judith Schellenbach-Zell,False,Lehrkräftebildung,,Bildung & Erziehungswissenschaft
1011,Alejandra,Rodríguez Sánchez,Alejandra Rodríguez Sánchez,False,Migrationsforschung,,Migration & Integration
1012,Cavan V.,Bonner,Cavan V. Bonner,False,Psychologie,,Psychologie
1013,Samuel D.,Gosling,Samuel D. Gosling,False,Survey-Methodologie,,Methoden & Statistik
1014,Jeff,Potter,Jeff Potter,False,Persönlichkeitsforschung,,Psychologie
1015,Brent W.,Roberts,Brent W. Roberts,False,Persönlichkeitsforschung,,Psychologie
1016,Tobias,Rolfes,Tobias Rolfes,False,Fachdidaktik,,Fachdidaktiken
1017,Anke,Lindmeier,Anke Lindmeier,False,Fachdidaktik,,Fachdidaktiken
1018,Aiso,Heinze,Aiso Heinze,False,Fachdidaktik,,Fachdidaktiken
1019,Lisa,Rosen,Lisa Rosen,False,Erziehungswissenschaft,,Bildung & Erziehungswissenschaft
1020,Tobias,Roth,Tobias Roth,False,Forschungsdateninfrastruktur,,Forschungsmanagement
1021,Markus,Weißmann,Markus Weißmann,False,Integrationsforschung,,Migration & Integration
1022,Thijs,Bol,Thijs Bol,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
1023,Angelika,Steinwede,Angelika Steinwede,False,Angewandte Sozialforschung,,Soziologie & Gesellschaft
1024,Fabian,Rüter,Fabian Rüter,False,Erwachsenenbildung,,Bildung & Erziehungswissenschaft
1025,Josef,Schrader,Josef Schrader,False,Erwachsenenbildung,,Bildung & Erziehungswissenschaft
1026,Baljinder K.,Sahdra,Baljinder K. Sahdra,False,Pädagogische Psychologie,,Psychologie
1027,Joseph,Ciarrochi,Joseph Ciarrochi,False,Pädagogische Psychologie,,Psychologie
1028,Geetanjali,Basarkod,Geetanjali Basarkod,False,Pädagogische Psychologie,,Psychologie
1029,Theresa,Dicke,Theresa Dicke,False,Pädagogische Psychologie,,Psychologie
1030,Jiesi,Guo,Jiesi Guo,False,Pädagogische Psychologie,,Psychologie
1031,Philip D.,Parker,Philip D. Parker,False,Pädagogische Psychologie,,Psychologie
1032,Herbert W.,Marsh,Herbert W. Marsh,False,Pädagogische Psychologie,,Psychologie
1033,Steffani,Saß,Steffani Saß,False,Lehr-Lernforschung,,Bildung & Erziehungswissenschaft
1034,Corey,Savage,Corey Savage,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
1035,Adam,Ayaita,Adam Ayaita,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
